link,link-href,article
"Congress pitches for opposition unity after MCD poll drubbing","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/congress-pitches-for-opposition-unity-after-mcd-poll-drubbing/articleshow/58383179.cms","NEW DELHI: After losing to the BJP in Delhi civic polls, the Congress today pitched for opposition unity, saying the regional parties should realise that ""blind anti- Congressism"" will not work.
  

  

  AICC incharge of communications department Randeep Surjewala said the parties must put the country first in the ""battle of ideologies"", remarks which come in the backdrop of attempts by leaders like JD(U) chief Nitish Kumar and Trinamool Congress supremo Mamata Banerjee to rally anti-BJP forces to stop the saffron juggernaut.
  

  

  He also congratulated the BJP for its emphatic victory in Delhi MCD elections, in which Congress has been relegated to the third spot, and hoped it will work for a clean, corruption-free and development driven Delhi.
  

  

  ""Hope all regional parties will now realise that blind anti-Congressism is not the way. Country must come first in the battle of ideologies,"" Surjewala said on twitter.
  Grow online traffic with targeted campaignsColombiaBest SIP Investment Plans in 2017 to Make You Rich!FundsIndiaRecommended By Colombia

  

  
  Lauding the Congress workers for the increase in the vote share in Delhi, he said the party will work hard for a new narrative.
  

  

  ""Congrats to BJP for winning MCD. Thank Congress workers for increase in vote share from 9.6 pc to 20 pc. Will work hard for a new narrative.
  Top CommentIf the purpose of opposition is just unite so that they could be in power that its not going to take them anywhere. opposition need to revive itself just like BJP did it under Modi ji. Opposition nee... Read MoreIf the purpose of opposition is just unite so that they could be in power that its not going to take them anywhere. opposition need to revive itself just like BJP did it under Modi ji. Opposition need a strong capable leader, who comes from grass roots of India and currently no such leader is in even far far sight. Either congress need to dump Nehru Gandhi dynasty once for all or else there has to be a brand new age leader with new party who has great vision and will to build tomorrow India where which has Job,  food, shelter, education, healthcare and Opportunities for all IndiansFighter

  

  
  

  ""Hope BJP will now work for a clean, disease free, corruption free, development driven Delhi, unlike in past 10 years of its MCD rule,"" he said in a series of tweets.
  

  

  
  The BJP scored a landslide victory in MCD polls, decimating the Aam Aadmi Party and the Congress."
"Old hands to train fresh faces before passing baton","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/old-hands-to-train-fresh-faces-before-passing-baton/articleshow/58425873.cms","NEW DELHI: It will take another week before BJP can start a fresh innings in the three municipal corporations. The state election commission has sent the final results of the civic polls to the LG, who will notify them. Following this, the newly-elected councillors can initiate the process for nomination and election of mayor and other positions.
  

  

  BJP won in 181 wards out of the 270, which went to polls on April 23. AAP bagged 48 seats and Congress just 30. ""Once the LG notifies the results of the elections, the newly elected representatives can take charge,"" said a senior official at SEC.
  

  Rosra Gold Quartz Couple WatchShopcluesLet's understand the need for a term planMAX LIFE INSURANCERecommended By Colombia

  While 50% of the seats are reserved for women in each corporation, the DMC Act stipulates appointment of a woman councillor as the first mayor during the five-year term of the municipal corporations. The mayor is changed every year. The mayors, deputy mayors and members of standing committees of the three corporations will be elected in the first meeting of the elected councillors.
  

  

  BJP has initiated the process of shortlisting names for the mayor's post in each corporation. There are over 200 candidates who will become councillors for the first time. Sources claim that the new members will be trained by former councillors in the next few days and help them understand their role.
  

  

  Sources in BJP say that Kamaljeet Sehrawat and Shikha Rai are the front runners for the mayor's post in the south civic body. Sehrawat won from Dwarka B ward by 9,000 votes, which was the highest margin this election, while Rai emerged winner from Greater Kailash ward by more than 8,000 ballots.
  

  

  BJP had fielded new faces for this year's polls and won by a bigger margin than the last civic elections."
"MCD polls: Zone-wise vote share","http://timesofindia.indiatimes.com/india/mcd-polls-zone-wise-vote-share/articleshow/58397975.cms",""
"Yawning gap or narrow win, it’s a talking point","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/yawning-gap-or-narrow-win-its-a-talking-point/articleshow/58389044.cms","SDMC's Chhattarpur ward saw a nail-biting contest between the BJP and AAP candidates that wasn't decided till the last round of counting. ""I was trailing after the first seven rounds of counting, but we astonishingly began making up up in last two rounds,"" said Anita Tanwar of BJP. Even then, it was only the last few votes that gave Tanwar the narrowest of wins by 2 votes over Pinky Tyagi. ""The ward was equally divided between AAP and us. We eventually got 8,145 votes, while they got 8,143,"" Tanwar said.
  

  

  Bhajanpura in east Delhi also saw a close race, but the story here was a bit different. Although BJP candidate Gurjeet Kaur managed to beat Congress rival Rekha by 58 votes, the counting wasn't a comfortable experience for either. ""We had a healthy lead initially, but it kept decreasing every round, leaving us nervous and shaken,"" Kaur's husband admitted.
  

  

  While Yasmin Kidwai of Congress beat Meeta Bhambry of BJP by 59 votes in Daryaganj, Pooja Jakhar of AAP triumphed in Chirag Dilli by a trifling margin of 73 votes, the fourth closest contest.
  

  

  ""We maintained our lead even when other candidates demanded a recount,"" said Surender Singh Kohli, AAP observer in the counting centre.
  

  

  
  

  

  Dwarka B saw the most lopsided contest
  

  

  Kamaljeet Sehrawat had the distinction of being the winner with the most resounding victory in the municipal polls. In the Dwarka B ward, BJP's Sehrawat, with 14,613 votes, left behind Sushma Bansal of AAP lagging far behind — 9,866 ballots behind to be precise. The runner-up could only manage 4,747 votes.
  

  Earton MenBoys Grey Sports Running ShoesShopcluesEnrol in best placement university in UP–GLAGLA UniversityRecommended By Colombia

  Sanjeev Kapoor of BJP recorded the second highest margin of 9,322 votes while beating Naveen Kumar Gupta of AAP in the east Delhi ward of Krishna Nagar. The button next to his name was pushed by15,889 voters, with only 6,567 doing so for Gupta.
  

  

  It was a humiliating loss, by the third highest margin in these polls of 9,115, for veteran Congress member and outgoing leader of the Opposition in EDMC Varyam Kaur in Kanti Nagar. BJP's Kanchan Maheshwari proved the giant killer, getting the support of 15,491 voters to 6,376 for Kaur.
  

  

  Chandela family's writ runs in Khyala
  

  

  Priya Chandela of Congress retained the Khyala seat by a narrow margin of 295 votes. She carries on the Chandela family grip in Rajouri Garden assembly segment, where two of the four wards were with the family. Meenakshi Chandela, who contested the Rajouri assembly by-polls earlier this month, represented the SDMC ward of Khyala and her husband, Meghraj Chandela, neighbouring Vishnu Garden. Dayanand Chandela, Meghraj's father, is an ex-legislator from the area."
"92 Congress, 40 AAP candidates lose security deposit as BJP sweeps MCD polls","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/92-congress-40-aap-candidates-lose-security-deposit-as-bjp-sweeps-mcd-polls/articleshow/58384864.cms","NEW DELHI: Over 70 per cent of the 2,516 candidates, including 40 of the AAP and 92 of the Congress, lost their security deposit in the Delhi municipal elections.
  

  

  ""As many as 1,790 candidates lost their deposit. In the 2012 municipal polls, 1,782 out of the 2,423 candidates in the fray had forfeited their deposit,"" Delhi State Election Commissioner S K Srivastava told reporters.
  

  

  The BJP, which scored a hat-trick in the municipal polls with a resounding victory, saw only five of its candidates losing their deposit.
  

  

  According to the Commission, about 40 AAP candidates lost deposit, while 92 of the Congress met the same fate.
  

  

  ""192 of the BSP and 94 of the JD(U), 55 of the 56 Shiv Sena candidates forfeited their deposit,"" he said.
  

  Profitable option in Bangalore property marketProperty ShareInvesting in top 5-star mutual funds?ARTHAYANTRARecommended By Colombia

  ""In 2012, 203 candidates of the BSP, 18 of the BJP, and 26 of the Congress, had to forfeit security,"" he said.
  

  

  The BJP won 181 out of 270 wards for which the elections were held on April 23. The saffron party added muscle to its decade-long domination of the corporations effortlessly bucking anti-incumbency by riding on the popularity of Prime Minister Narendra Modi.
  

  

  
  

  

  

  The BJP's corporation-wise tally is: SDMC - 70, North Delhi - 64 and EDMC - 47 as against the AAP's tally of 16, 21 and 11 respectively. The Congress finished last with 12, 15 and 3 wards."
"Change of guard in AAP after defeat","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/change-of-guard-in-aap-after-defeat/articleshow/58408096.cms","NEW DELHI: Chastened by the humiliating results of the municipal polls, the Aam Aadmi Party began restructuring the party set-up in the capital. On Thursday, the Political Affairs Committee led by chief minister Arvind Kejriwal appointed state labour minister Gopal Rai as the convenor in Delhi.
  

  

  A day after the results, Kejriwal met the AAP MLAs and asked them to fan out in their constituencies to assess the reason for the party's poor show. In the meeting, many MLAs discussed factors other than AAP's official line that the voting machines were unreliable. Some key issues broached included organisation building, re-assessment of the party's mass communication and outreach strategies and the need to enhance interactions with volunteers. BJP's campaign strategy centred on PM Narendra Modi also came up for discussion, sources said. There was admission that with back-to-back elections in Punjab, Goa and Delhi, the party had not got enough time to come up with a counter to BJP's strong pitch.
  

  Onlineshoppee Wooden Decorative Wall Shelves for Living roomShopcluesStudy engineering in a NAAC A graded univ.GLA UniversityRecommended By Colombia

  On the key reason that AAP thinks it lost the polls — manipulation of EVMs — party MLAs corroborated the accusations by submitting information at Thursday's meeting about specific booths where they alleged the election process had been compromised. The party leadership would look into such cases to take them up with the authorities concerned.
  

  

  However, there were others in the party who felt they should move away from EVMs and consider strong communication strategies such as better outreach through jan sabhas. This was necessary, the AAP members said, because the party had failed to acquaint the masses with the good work done by Delhi government. On Wednesday itself, Delhi water minister Kapil Mishra, in a video message, had expressed the hope that AAP would introspect about the electoral route instead of simply blaming the EVMs.
  

  Latest Commentspecial Committee to find out reasons for debacle? ?.  I do think In all in AAP are lacking IQ. Grade 1 child  can tell the reasons. 
Mr. Khujili is the is the problem? so boot him and his chamchas and save AAPaaahnaa25 Shark

  On Thursday evening, the Political Affairs Committee ratified the decision to make Gopal Rai, known for his skills in team management, the convener of the Delhi unit. Rai replaced Dilip Pandey, who was in the post ever since AAP came to power in Delhi in 2015. Pandey submitted his resignation soon after the poll results put AAP at a distant second with 48 seats against the 181 that BJP won in the three civic bodies.
  

  

  The party will also have to deal with a spate of other resignations. Delhi in-charge Ashish Talwar had resigned on Wednesday night, while APP's Punjab in-charge Sanjay Singh and co-in-charge Durgesh Pathak submitted their resignations on Thursday over the party's unexpectedly poor performance in the Punjab assembly elections. Both Singh and Pathak had offered to resign right after the Punjab results were announced, but were refrained from demitting charge till the Delhi municipal polls."
"In high-stake contest, PM Modi BJP lifeline","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/in-high-stake-contest-modi-bjp-lifeline/articleshow/58389176.cms","NEW DELHI: Unlike 2015, the 'Modi wave' this time has helped BJP not just tide over strong anti-incumbency but improve its tally -- from from 138 to 181-- in the three corporations and crush the ruling AAP. In a strategic move, the party planned the election campaign around the Narendra Modi government's achievements and asked voters to make the national capital 'Narendra Modiji ke sapno ki Dilli'.
  

  

  Though corporation elections are largely about local issues, BJP focused on the Centre's work as this was a high-stake election. Victory in this election was crucial for BJP, which is on a winning spree, to remain relevant in state politics. ""Unlike other political parties, we decided to run a positive campaign to tell people about the achievements of the Modi government. And people have responded positively to our campaign,"" said Delhi BJP chief Manoj Tiwari.
  

  

  Though BJP had to fight strong anti-incumbency due to its poor performance, it successfully turned the municipal elections into a ""referendum on the AAP government"". Party members say people could connect with BJP's campaign due to ""lack of governance"" in the city under AAP's rule. The party has been running a sustained campaign, attacking the AAP government for lack of development in the city, citing the ruling party's political ambitions as the prime reason.
  

  Best SIP Investment Plans in 2017 to Make You Rich!FundsIndia“Himalayan herb” melts 5kg in 7 days (try it)SlimNowRecommended By Colombia

  Another major decision, which many said would harm the party, was to deny tickets to sitting councillors and their relatives. There were protests by councillors and some decided to contest the election independently. But this didn't impact the party, which was quick to expel 21 rebels days before polling. ""It was a bold decision which all our party workers accepted. There was no major opposition within the party. We could take this decision as we have strong organizational base,"" said Shyam Jaju, Delhi BJP in-charge. Wednesday's verdict showed that rebels couldn't cause much damage to the party.
  

  

  After its crushing defeat in the 2015 assembly elections, BJP had carefully worked out its strategy to revive the party in the state. The first major step in this direction, BJP members say, was to appoint the Bhojpuri actor-turned-politician as its state unit chief. ""The demography of Delhi has changed over the years. Tiwari is an MP, a celebrity and party's Poorvanchali face. His appointment has infused the party with new energy,"" said a party member. Tiwari successfully took forward the party's campaign to highlight lack of development in the city by staying in slums and villages.
  

  

  BJP members say the party's decision to field 34 Poorvanchalis played a crucial role in its victory in wards with a large number of unauthorized colonies and slum clusters that were considered AAP strongholds.
  

  

  It also helped BJP that senior Congress leaders like Arvinder Singh Lovely, Barkha Shukla Singh and Amrish Gautam crossed over to its fold ahead of the elections."
"Delhi verdict an endorsement of Modi's leadership: Amit Shah","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/delhi-verdict-an-endorsement-of-modis-leadership-amit-shah/articleshow/58377325.cms","KOLKATA: BJP President Amit Shah on Wednesday said the party's win in the Delhi civic polls was a vote in favour of Prime Minister Narendra Modi's three years in power and a vote against the ""negative politics"" of the AAP.
  

  

  Shah termed the party's resounding win in the civic polls as another public endorsement of Modi's leadership and rule.
  

  

  He said people have rejected politics of negativity and excuses, and given a clear message ""they want politics of development and positivity"".
  

  

  ""The Modi-led BJP government has been in power at the Centre for almost three years. The message given by this government through its work has raised the acceptance level of Modiji's leadership. This victory has only reaffirmed it,"" Shah told the media at the Press Club here.
  Party it up in Miami, Baywatch style!Ocean BeveragesLancer Mens Blue Gray ShoesShopcluesRecommended By Colombia

  

  Thanking the people of Delhi for the ""huge scale"" of BJP's victory, Shah said ""this has gone beyond our expectations"".
  

  

  The BJP chief said the Delhi verdict, coming close on the heels of his party's success in the assembly polls in Uttar Pradesh, Uttarakhand, Goa and Manipur, has only taken forward the ""Modi and BJP juggernaut"".
  Latest CommentNothing succeeds like success.Mithilesh Kumar

  

  In an obvious attack on the Arvind Kejriwal government in the national capital, Shah said: ""The people of Delhi have given a clear message that there is no place for negative politics and politics of excuses.
  

  

  ""They have given a clear message they want politics of positivity and pro-development. Through this victory people of Delhi have endorsed Modji's rule of the last three years,"" he added."
"Why AAP needs to introspect after BJPs MCD win","http://timesofindia.indiatimes.com/india/why-aap-needs-to-introspect-after-bjps-mcd-win/articleshow/58396789.cms",""
"Swaraj India draws a blank, says not end","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/swaraj-india-draws-a-blank-says-not-end/articleshow/58389199.cms","NEW DELHI: It turned out to be an unremarkable electoral debut for Yogendra Yadav's Swaraj India as it drew a blank on all the seats it contested.
  

  

  The party had contested 211 seats, and had run a focused campaign around civic issues.
  

  

  ""We accept the people's verdict. The message for us is that we need to work more, as people don't trust us yet. We couldn't persuade people to trust another new party so soon. But this is not the end for us. We are laying the foundation for clean and accountable governance,"" said Yadav.
  

  Brand New HTC-RC E160 Stereo Headphone Handsfree Headset EarShopcluesAsian Paints - Get online colour consultancyAsian PaintsRecommended By Colombia

  He also said that CM Arvind Kejriwal should step dowsn and order for 'right to recall', as he had made this election a ""personal referendum"".
  

  

  However, the party also talked about the need for introspection. Yadav said unlike AAP, Swaraj India is in no hurry to expand its political footprint in the country. ""We will be careful in our selection about where to contest. It will depend on our organisation's preparedness. We will contest elections on a positive agenda,"" Yadav said.
  

  

  Other members of the party said they have been successful in building pressure on the Delhi government to deliver on its promises while highlighting local concerns. ""It was after our sustained protest that the AAP government decided that it will not give any new licence for liquor vends. They proposed changes in the Lokpal Bill after we raised the issue. Similarly, we have raised issues faced by auto drivers, which the AAP government had to address. Our politics is about accountable and transparent governance,"" said Anupam, spokesperson of Swaraj India.
  

  

  The party hopes this would make the people trust it."
