"","Headline","article","location"
"5","Amid Dissent, BJP Meets In Karnataka For Mission 150"," HighlightsBefore the meet, KS Eshwarappa went againt state party leaders
All eyes were on state BJP who need to be united for the upcoming polls
Mission 150 targets winning 150 of 224 seats in 2018 Karnataka elections
                                There has been an unusual amount of interest in the state executive meet of the BJP in Karnataka that began today in Mysuru. The two-day meet, attended by state leaders and central representatives, is focussed on Mission 150 - the target of winning 150 out of 224 seats in Karnataka's Assembly elections scheduled for next year.

But the real interest from the media and political watchers was on another, unstated mission - the urgent need for the state BJP to get its act together and be united in the countdown to those polls.

The run-up to the meet had seen defiance of state party president and former chief minister, BS Yeddyurappa by KS Eshwarappa, a Kuruba leader. In December last year, Mr Eshwarappa launched the Sangolli Rayana Brigade, a Dalit and backward class organisation, against the wishes of Mr Yeddyurappa. Late last month, he and his followers held a meeting in Bengaluru - to 'save' the party from what they said was Mr Yeddyurappa's autocratic style of functioning. Mr Yeddyurappa protested.

The BJP high command took notice of the row and four office bearers - two from each side - were removed by state in-charge Muralidhara Rao.

There was speculation whether Mr Eshwarappa would even attend the Mysuru meet. But he did arrive, one of the last leaders to do so. He told NDTV as he entered, ""I do not wish to say anything none,"" in response to our questions on party unity. A meeting of the Sangolli Ratana Brigade, scheduled on Monday in Raichur has been postponed.

There were small problems that had been sorted out, Union Minister Ananth Kumar told NDTV. Former chief minister Jagadish Shettar said that he would only speak about party matters in the party forum - and that the meet was to focus on strategy for the election.

Karnataka was described by the BJP as its Gateway to the South - and Mr Yeddyurappa was its first chief minister in its first government in southern India in 2009. It earlier had an uneasy coalition with the Janata Dal Secular in the state which did not end well - but the party came back to form the government by itself.

Outwardly, the Mysuru meet is progressing peacefully. But the party clearly needs to deal with its unity before taking on the ruling Congress at the polls.","bengaluru:"
"9","In Politically Fragile Goa, Congress Takes Aim At Manohar Parrikar's MLA Election","                             A flurry of political activity in Goa, a state with 40 assembly seats, has triggered fresh reports of political uncertainty.

There are speculations, some even bordering on whether the Congress is attempting a ""coup"" on Manohar Parrikar who will have to contest an election to become a legislator in September to cement his position as the Chief Minister of the state.

After the sacking of the Congress in-charge of Goa, Digvijaya Singh, who was blamed for botching up the Congress's prospect of forming a government in the state, the new in-charge, A Chellakumar, is now trying to give Goa a fresh shot.

Sources say that Mr Chellakumar camped in Goa for five days and was in touch with some legislators to see how the party that has 15 MLAs and is five short of the government formation mark could be back in the saddle.

When asked about these reports of an attempted coup, Mr Chellakumar said ""Goa is a small state where everyone is in touch with everyone."" He also added that ""Goans voted against the BJP in 26 seats so it was a vote against Manohar Parrikar.""

Congress sources say that Mr Parrikar is worried about his prospects of a safe election from Panaji hence the BJP is giving wind to rumours of the Congress trying to orchestrate a coup.

There's also intense speculation that the three MLAs of current BJP-led coalition partner ""Goa Forward"" could abandon the BJP - a party it was ideologically opposed to before the elections. This forced ""Goa Forward's"" Vijay Sardesai to take to Facebook Live and clarify that there were no such plans. Trashing the reports, he told NDTV that he said ""We are getting the respect in the government. Our positions on issues are becoming policies and it is because of the Goa Forward that Manohar Parrikar is chief minister.""

The BJP's Goa General Secretary Sadanand Tanavde told NDTV that ""Manohar Parrikar is a strong leader and will easily win in the elections that are expected to take place in September. The Congress's A Chellakumar is making false claims that the party is in touch with some MLAs because he is struggling to keep his flock together.""

The Congress had won 17 of the state's 40 seats in the recently concluded assembly elections. But as the party bickered over who would be Chief Minister, the BJP, which won four seats less, stitched together a coalition with regional parties and Independent legislators. Because the potential allies wanted Manohar Parrikar - who till then was the Union Defence Minister - to lead the government, he was shifted back to Goa. The miffed Congress had cried foul, saying it should have been given change to form the government.","panaji:"
"14","Karnataka BJP Tries To Fix Cracks, Leaders Asked To 'Work As A Family'"," HighlightsTwo-day executive meet of the Karnataka BJP unit ends today in Mysuru
Katta Subramanya Naidu says, ""We are all one group, one family.""
KS Eshwarappa calls off meeting of Sangolli Rayana Brigade
                                The two-day executive meet of the Karnataka BJP unit, that ends today in Mysuru, saw the party trying hard to present a united front and keep it together. Ahead of the meet, backward class leader KS Eshwarappa continued his open defiance against state party president, BS Yeddyurappa. Also, there was little interaction between the two during the meet that focused on Mission 150 - the target of winning 150 out of 224 seats in Karnataka's Assembly elections scheduled for next year.

But the party insists ""all is well'. ","karnataka:"
"17","Goa Rajya Sabha Polls: Congress Plans Non-BJP Parties' 'Consensus Nominee'","                             After failing to form the government in Goa despite emerging as the single largest party in the assembly polls, the Congress is now planning to field a ""consensus candidate"" of the non-BJP parties for the lone Rajya Sabha seat in the state.

Talking to Press Trust of India, All India Congress Committee secretary Girish Chodankar today said, ""We will be fielding a candidate, who will be acceptable to all the parties. When I say that I mean all the non-BJP parties.""

Goa has the lone Rajya Sabha seat, which is currently represented by Congress leader Shantaram Naik. The election to the RS seat would be held on June 8.

Mr Chodankar said, ""Congress will field a consensus candidate, who will be acceptable to all the parties, including the Goa Forward Party, the Maharashrawadi Gomantak Party (MGP) and other independents, who are part of the Manohar Parrikar-led state government.

The Congress leader said, ""The upcoming RS election will be fought cutting across the party lines with the sole aim to have a non-BJP candidate winning it.""

When contacted, BJP Goa general secretary Sadanand Tanawade said his party was yet to decide the candidate, but it would be a choice of all the parties, which support the Parrikar-led government.

""We will meet tomorrow to finalise the name of the candidate for the RS polls,"" Mr Tanawade said.

""Chief Minister Manohar Parrikar will take a call on this. The candidate that BJP will field will have support of all the coalition partners,"" Mr Tanawade said.

Goa Forward Party's mentor Vijai Sardesai was unavailable for comment, but a senior party functionary said that they were yet to take decision on the RS poll.

""Ideally, we will go with the ruling government as we are part of it,"" he said.","panaji:"
"18","After BS Yeddyurappa Eats Hotel Food At Dalit Home, BJP Explains Why"," HighlightsBJP accuses Congress of trying to discredit state party chief Yeddyurappa
The BJP claims that the food cooked by the Dalit family ran out
The assembly elections in Karnataka will take place next year
                                The BJP in Karnataka has rubbished the allegation that its state chief BS Yeddyurappa refused to eat food cooked at a Dalit's home last week and instead ate idlis ordered from a hotel. The party has said that food ran out while Mr Yeddyurappa and his team were at the home of Madhu Kumar in Chitradurga district for breakfast, and so more was bought from outside.

A man called D Venkatesh has filed a police complaint against Mr Yeddurappa, accusing him of casteism.","bengaluru:"
"20","Its Siddaramaiah vs BJP's Yeddyurappa In Karnataka Assembly Polls","                             The Congress today named Karnataka Chief Minister K Siddaramaiah as the party's face in the coming Assembly polls, pitching him against former Chief Minister BS Yeddyurappa, who will be leading the campaign for the BJP. Mr Yeddyurappa was named the party's choice for the Chief Minister's post by BJP chief Amit Shah in August.

Assembly elections in the state are due next year, in which the Congress is trying to stay in power for the second consecutive term.

The Congress today announced some restructuring within the party. The changes come after party vice president Rahul Gandhi's strategy meet with the key state leaders.

State Home Minister G Parameshwara will step down from the cabinet and devote himself to his duties as chief of the party's state unit, the party has said. A statement from party's national general secretary Janardan Dwivedi also announced the elevation of SR Patil, Dinesh Gundurao, minister DK Shivakumar, former Union minister K H Muniyappa and Satish Jarkiholi in various party posts.

The appointments have been made keeping in mind all sections and castes of the state. While Siddaramaiah is a key leader from the Kuruba Gowda community, Mr Parameshwara and Mr Muniyappa are Dalit leaders. The dominant Lingayat and community is represented by Mr Patil, the Vokkaligas by Mr Shivakumar. Mr Jarkiholi has a huge following among tribals.

The BJP, which recently saw a revolt against Mr Yeddyurappa by backward class leader KS Easwarappa, is trying to keep a united front.","bengaluru:"
"22","Support for Emmanuel Macron's party grows before French parliamentary election: Poll","                             Support for French President Emmanuel Macron's new centrist party is growing before legislative elections next month, a poll found on Thursday, raising the chances that he will be able to win parliamentary backing for his reform plans.A Harris Interactive poll found Macron's Republic on the Move party, together with allies, set to win the largest share of the vote in the first round of the National Assembly elections on June 11.Thirty-two percent of 4,600 registered voters questioned planned to vote for Macron's party, it said.That was up three points from a similar poll on May 11 and up six points from a poll on May 7, the day that Macron defeated far-right leader Marine Le Pen to become French president.Macron, 39, who smashed the traditional left-right grip on French politics to win the presidency, gave ministerial jobs to conservatives, socialists and political newcomers on Wednesday, appointing an unprecedented all-stripes cabinet to bridge divides and broaden his support.In a morning radio interview, Prime Minister Edouard Philippe dismissed a suggestion that the mixed government was an electoral gimmick, saying 'progress' was its unifying theme.""Clearly it is a government built to last,"" he told France Inter. ""As the legislatives approach, this (government) is of course essential, and will determine everything that happens afterwards. But the government is here to govern. It is here to prepare the recovery, it is here to create something, it is here to put projects in place.""The new cabinet will meet for the first time on Thursday.Under the French voting system, if no candidate wins an absolute majority in the first round of voting for the National Assembly, the leading candidates go forward to a second round on June 18. The Harris poll gave no forecast of what would happen then or how many seats each party might win.But the poll's findings strengthen the chances that Macron will be able to count on parliamentary backing for his plans, which include corporate tax cuts, labour market reforms, and a 50 billion euro investment plan coupled with public spending savings.The Harris poll for French television found support for the centre-right The Republicans and the far-right National Front both on 19 percent, each down one point from the May 11 poll.Support for the far-left France Unbowed party rose a point to 15 percent while the Socialist Party's backing fell by a point to six percent.The online poll was carried out between May 15 and 17 - after Macron named conservative lawmaker Edouard Philippe as his prime minister and before the new government was unveiled on Wednesday.Six French voters out of 10 hope that Macron will have a majority in parliament, the Harris poll found.Macron's party announced a list of 428 candidates, most of them political unknowns, last Thursday to fight the parliamentary elections.But the party, which currently has no seats in the National Assembly, has yet to pick dozens of other candidates for the 577 seats at stake, hoping more politicians from other parties will switch sides.","paris:"
"24","Not Joining BJP, Says Gujarat Congress Leader Who 'Unfollowed' Rahul Gandhi","                             Gujarat Congress leader Shankarsinh Vaghela today said his ""unfollowing"" party vice president Rahul Gandhi on Twitter does not signal a return to the BJP. He has described his decision to do so - he stopped following not only Mr Gandhi but everyone else - as a move towards winding down activity on social media ahead of the Gujarat assembly elections later this year.

This, Mr Vaghela explained to reporters on Monday, was necessary to stop ""spreading of false messages and speculation"" about him; it was ""not personal"" he said. The 76-year-old is in fact seen to be sulking with his party after it said it will not project any one as presumptive Chief Minister. Mr Vaghela's supporters have been pushing for the Congress to project him for Gujarat Chief Minister. ","ahmedabad:"
"27","EVMs Used In Uttarakhand Polls To Be Seized, Says High Court"," HighlightsEVMs used in Vikasnagar constituency to be taken into judicial custody
Congress' Nav Prabhat had alleged tampered EVMs helped BJP candidate win
Election Commission has strongly denied claims of EVM rigging so far
                                Electronic Voting Machines or EVMs used for the Vikasnagar constituency in the Uttarakhand assembly elections earlier this year will be taken in court's custody, the state's High Court has ruled, as it admitted a petition by a Congressman who lost the election from that seat.

Senior Uttarakhand Congress leader, Nav Prabhat, has challenged the election of the BJP's Munna Singh Chauhan from Vikasnagar, near capital Dehradun, alleging that the EVMs were rigged.","nainital:"
"28","Stay Humble, Don't Get Complacent: Amit Shah To BJP Workers","                             Stay humble and do not get complacent, BJP national president Amit Shah told party workers on Tuesday, while attributing to them its overwhelming victory in the Uttar Pradesh Assembly elections.

The party workers should not feel relaxed and complacent after the BJP's win in UP. Instead, more efforts should be made to improve party's prospects on the assembly seats and booths where it is weak, Mr Shah said.

He was addressing the state executive meeting of the BJP on concluding day of its two-day meet, which was held for the first time after the saffron party stormed to power in the recent Assembly elections.

Terming the BJP as a ""party of patriots"", Mr Shah said, ""The party workers must not sit back and relax, but make efforts to reachout those booths, where it is weak and tell people about the various welfare schemes initiated by the Centre and state governments, thereby increasing the membership of the party.""

Noting that there were 16,000 workers in the BJP, he said if one party worker decides to strengthen five booths, then the party would automatically reach to 80,000 booths.

""The party workers must go the booth level and work with the dalits, the poor and the labourers, and tell them about the various welfare measures of the Centre and state government,"" he said.

The people should be told how the party came up with the 'Lok Kalyan Sankalp Patra' before the UP assembly elections while working on 'sabka saath, sabka vikaas', Mr Shah said.

Lauding the hard work of party workers, he said, ""It is due to their toil that BJP which started as a 10-member party is now having 11 crore members, and is the largest political party in the world.""

""It is because of the hardwork of the party workers that the party has formed government on its own strength in 14 states, while it shares power with allies in three states,"" he said.

The party has 282 MPs in Lok Sabha and 1,387 MLAs throughout the country, he pointed out.

""But, the party workers should not feel relaxed or complacent and take steps to ensure that BJP makes inroads to each and every part of India,"" he said.

After the 2014 Lok Sabha elections, people of UP wanted to get rid of casteism, dynastic politics and appeasement, and they have given a green signal by voting for the BJP, heralding a new era in the state, he said, and added that UP had been suffering from policy paralysis all these years.

""It is for these reasons that the BJP did not name its election yatras as 'Vijay Yatra' but called them 'Parivartan Yatra'. Our main aim was to help UP get free from the 15 years of misrule of SP and BSP. The Yogi government will do 'sabka saath, sabka vikaas', and we are seeing glimpses of this in the first few months,"" he added.","lucknow:"
