"","Headline","article","location"
"3","'I'm A Man, Do Everything Openly': Nitin Gadkari On BJP's Goa Strategy"," HighlightsMr Gadkari told Amit Shah that they had lost Goa, should concede defeat
Mr Shah asked him to rush to Goa, devise a strategy to turn things around
He refutes charges of horse-trading to form BJP-led government in Goa
                                As soon as the assembly elections results in Goa were announced in March -- in which the Congress emerged as the single largest party with 17 of the 40 seats in its kitty, but failed to immediately decide on who should be the chief minister -- the BJP, with four seats less than the rival got busy gathering support of smaller parties. Union Minister Nitin Gadkari, the BJP leader in charge of Goa, met leaders of regional parties and independent legislators to convince them to help form and be part of a BJP-led government in the state.

 Mr Gadkari today revealed how the BJP turned its defeat into victory in Goa and managed the required numbers for forming the government and agreeing to make the then Defence Minister Manohar Parrikar the chief minister. He added that while ""the Congress was sleeping, his party worked all night to form the government"".

However, he refuted charges of horse-trading during the hectic overnight parleys. ""I am not a person who does political deals. I am a 'mard' and do everything openly. I did not carry any money to anyone in Goa. I don't do such things. I fight and get things done,"" the senior BJP leader and Road Transport, Highways and Shipping Minister said at the India Today Editors Roundtable in Delhi.

The party had got 13 seats and Mr Gadkari informed BJP national president Amit Shah that the party had lost Goa and should concede defeat. However, Mr Shah asked him to devise a strategy to turn things around.

Soon after their meeting, Mr Gadkari packed his bags and started for Goa, he said.

Once in Goa, he met Sudin Dhavalikar of Maharashtrawadi Gomantak Party (MGP) at the Taj hotel in Panaji who agreed to form an alliance with the BJP on the condition that he be given a ministerial berth. With the MGP's support, BJP's strength went to 16 and then he was approached by Vijay Sardesai of the Goa Forward Party (GFP).

""He had been a Congress man for his entire life. But he was being tortured by the Congress for past five years. We had got Dinesh Singh, a wrestler from Uttar Pradesh, and is a friend of Sardesai. He convinced Sardesai,"" Mr Gadkari said.

Mr Sardesai, along with a ministerial berth, wanted Manohar Parrikar to be made the chief minister.

Around 2.45 am he rang up Mr Shah about the demand. ""I had asked Parrikar, he said he would do whatever party asked (him) to do. But, my reading of his mind was that he was more than happy to return to Goa. I told the same to Amit Shah,"" he said.

What followed next needs no guessing.

(With inputs from PTI)","new delhi:"
"4","High Court Mutes EVM (Vote Machine) Criticism... Not Even On Twitter Or Facebook","                             Coming to the defence of the Election Commission that has been the target of attacks from political parties over its voting machines, the Uttarakhand High Court on Friday barred political parties and others from criticising the use of these machines, or EVMs, in the five state assembly elections till pending election petitions are decided.

A systematic campaign has been unleashed against the EC, a constitutional body, a two-judge bench of the high court said. It ruled that the foundation of democracy would be weakened in case this tendency to damage constitutional bodies by levelling unsubstantiated allegations was not curbed. It added that the right of freedom of speech did not permit levelling unsubstantiated charges against the functionaries of the constitutional bodies.

""We, however, in the larger public interest, restrain"" all political parties, non-governmental organizations and individuals ""from criticising the use of EVMs in the recently conducted elections of the State Assemblies even by approaching the electronic media, press, radio, Facebook, Twitter etc. till the decision of the election petitions,"" the court said.

The verdict, which ends the no-holds barred attack launched by the Aam Aadmi Party, also puts a question mark on Arvind Kejriwal's plan to conduct a parallel hackathon on Saturday that taunted the election commission for its restrictive ground rules. Under these rules, AAP's Saurabh Bharadwaj said, even its look-alike EVM could not be tampered.

The court allowed the election commission to go ahead with the EVM Challenge that it was to hold on Saturday but frowned at the event nonetheless, observing that it ""may influence the outcome of election petitions wittingly or unwittingly"".

Only two parties, the Nationalist Congress Party and the CPI-M had applied to participate in tomorrow's EVM challenge conducted by the commission to put all concerns about the machine's reliability at rest. Representatives of the two political parties can, however, only fiddle with the buttons, and not open the machines.","new delhi:"
"6","Arvind Kejriwal's Hackathon Vs Election Commission's: What To Expect"," HighlightsPolitical parties had alleged vote machines can be rigged
Election Commission's challenge accepted by 2 parties
AAP rejects Election Commission's event, will hold its own hackathon
                                The Election Commission has organised more than 10 vote machines that were recently used in elections in Uttar Pradesh for tomorrow's hackathon, where political parties will try to prove in Delhi that the machines can be rigged.

A total of 14 Electronic Voting Machines or EVMs will be made available to representatives of Sharad Pawar's party NCP and the Left who hope to prove that the Election Commission is wrong and that the equipment used by it can be gamed, as alleged by a series of political outfits including the Congress and Delhi Chief Minister Arvind Kejriwal's Aam Aadmi Party or AAP after Prime Minister Narendra Modi front-lined his party's gigantic wins in Uttar Pradesh and Uttarakhand.

AAP, which has accused the Election Commission of colluding with the BJP to rig results in its favour, has announced that it will hold a parallel hackathon of its own tomorrow. The machine it will make available to techies and others is the one that was used by the party in the Delhi Assembly last month in a televised demonstration of its manipulation. The Election Commission said the machine used was a far cry from the real thing and rejected the result.

At the Election Commission's event, hackers will get five hours - from 10 am to 2 pm - and access to four machines each. The other EVMs will be kept as back up.","new delhi:"
"7","BS Yeddyurappa Will Be BJP's Chief Ministerial Face In Karnataka: Amit Shah","                             Former Karnataka chief minister BS Yeddyurappa will be the BJP's chief ministerial face in the Assembly polls scheduled early next year, party president Amit Shah said on Friday.

During an interaction with the Press Trust of India, Mr Shah also indicated that Gujarat Chief Minister Vijay Rupani would be the party's choice for the top post in the state, asserting that it would win more than 150 seats in the Assembly polls slated later this year. The Assembly has 182 seats.

He, however, said the party has not yet decided on its chief ministerial face in Himachal Pradesh, which goes to polls along with Gujarat.

""It (Karnataka election) will be fought under Yeddyurappa,"" Mr Shah said.

Asked if it meant that Mr Yeddyurappa, who is the BJP's Karnataka unit chief, will be the chief ministerial face, he said, ""He will be.""

The Karnataka unit has been facing factional fight with a group headed by former deputy chief minister KS Eshwarappa targeting Mr Yeddyurappa's leadership.

To a question on the party's state of affairs in Karnataka, Mr Shah said he would visit the state soon. The party had recently taken action against some leaders, suspected to be behind the internal wrangling.

Asked whether Mr Rupani will be the party's CM face in Gujarat, Mr Shah said, ""He is already the chief minister.""

""What does it mean that he will be the chief ministerial face...,"" he said in a lighter vein.

Mr Yeddyurappa, 74, an influential Lingayat leader, had led the BJP to its maiden victory in the southern state in 2008, but was forced to resign following charges of corruption against him.

He floated his own outfit in 2011. Though his party performed poorly in the 2013 Assembly polls, it managed to wean away a substantial chunk of the BJP votes, leading to a rout of the BJP.

He returned to the BJP fold ahead of the 2014 Lok Sabha election.","new delhi:"
"8","Army Chief Backs 'Innovative' Tactics For 'Dirty War' In Kashmir: Report","                             Army chief General Bipin Rawat, who recently gave a Commendation Card to Major Leetul Gogoi -- the officer who tied a man to the bonnet of a jeep while rescuing a group of election officials during assembly elections in Srinagar -- today said innovative tactics were required for Kashmir, where a ""dirty war"" is on.

""When people are throwing stones and petrol bombs at us, I cannot tell my men 'just wait and die',"" General Rawat was quoted as saying by news agency Press Trust Of India.

""I would have been happy if the protesters were firing weapons at the armed forces instead of throwing stones,"" General Rawat said.","new delhi:"
"10","From 2024 Hold Lok Sabha Elections, Assembly Polls Simultaneously: NITI Aayog","                             The NITI Aayog has suggested a synchronised two-phase Lok Sabha and assembly polls from 2024 so as to ensure minimum 'campaign-mode' disruption to governance. Outlining the details, the policy think-tank has said implementing the proposal may necessitate ""a maximum one-time curtailment or extension of some state assemblies"".

It has made the Election Commission the nodal agency to look into the suggestion and recommended setting up of a working group of stakeholders for deciding a road-map for synchronised elections.

A report in this regard need to be finalised within six months and final blue-print will be ready by next March, as per draft three-year action agenda for 2017-18 to 2019-20. The draft report was circulated among the Governing Council members (consisting of chief ministers of all states and others) of the NITI Aayog on April 23.

The recommendation assumes significance as President Pranab Mukherjee and Prime Minister Narendra Modi have pitched for simultaneous Lok Sabha and assembly polls.

""All elections in India should happen in a free, fair and synchronised manner so as to cause minimum 'campaign-mode' disruption to governance. We may begin work towards switching to a synchronised two-phase election from the 2024 election to the Lok Sabha,"" the NITI Aayog draft report says.

This would require a maximum one-time curtailment or extension of some state assemblies, it said.

""To implement this in the national interest, a focused group of stakeholders comprising constitution and subject matter experts, think-tanks, government officials and representatives of various political parties should be formed to work out appropriate implementation-related details.

""This may include drafting appropriate Constitution and statutory amendments, agreeing on a workable framework to facilitate transition to simultaneous elections, developing a stakeholder communication plan and various operational details,"" the draft report says.

President Mukherjee in his speech on the eve of this year's Republic Day had favoured holding Lok Sabha and assembly elections together. ""The time is also ripe for a constructive debate on electoral reforms and a return to the practice of the early decades after Independence when elections to Lok Sabha and state assemblies were held simultaneously. It is for the Election Commission to take this exercise forward in consultation with political parties,"" President Mukherjee had said.

PM Modi had in February made a strong pitch for simultaneous elections. ""It (simultaneous polls) will cause some loss to all, including us,"" he had said, and asked political parties to not look at the idea through narrow the prism of politics.

""One party or a government cannot do it. We will have to find a way together,"" he had said.

Elections are being held all the time somewhere or else in the country and continuous elections lead to lot of expenditure, PM Modi had said replying to the debate in the Lok Sabha on the Motion of Thanks to the President's address.

The prime minister had said over Rs. 1,100 crore was spent in holding the 2009 Lok Sabha polls and the expenditure shot up to Rs. 4,000 crore in 2014.

He had said that over a crore government employees, including a lot of teachers, are involved in electoral process and the continuous exercise thus causes maximum harm to the education sector.

Security forces also have to be diverted for electoral works across the year even while enemy country keeps plotting against the nation and terrorism remains a strong threat, PM Modi had said.","new delhi:"
"11","Supreme Court Seeks Centre's Response On Plea For VVPAT For Gujarat Polls","                             The Supreme Court has sought response of the Centre and the chief election commissioner on a plea filed a Gujarat Patidar leader seeking the use of either ballot paper or electronic voting machines with paper trail for the upcoming Assembly election in the state.

A bench of Chief Justice JS Khehar and Justices DY Chandrachud and SK Kaul issued notice to the Centre, the CEC, the Gujarat government and the state election commission, and sought their response in four weeks. The top court posted the matter for hearing to the first week of July.

Petitioner Reshma Vithabhai Patel, the convener of Patidar Anamat Andolan Samiti, which was in the forefront of the Patel quota agitation, claimed that EVMs were not ""fully reliable, foolproof, tamper-proof or hacker-proof"". The plea was dismissed by the Gujarat High Court on April 12.

The Election Commission should be asked to replace EVMs with ballot paper, or to ensure Voter Verified Paper Audit Trail (VVPAT) for every EVM, she had demanded.

The Assembly election in Gujarat is due later this year. The plea by Ms Patel had also alleged that the names of thousands of members of a ""particular community"" were missing from voter lists in the 2015 municipal corporation polls. It had sought the court's direction to the poll panel to prevent this in future.

She has said that the high court has erred in not appreciating that the Supreme Court had passed its judgement on October 18, 2013, asking ensuring polling through EVMs with paper trail but despite that it has not been implemented by the the ECI and the State Election Commission.

In her plea, it was contended that the high court has erred in not appreciating that there are allegations that at the behest of the ruling party, the names of voters were deleted from voter lists in the last six municipal corporations elections held in 2015.","new delhi:"
"12","Digvijaya Singh Dropped As Congress In-Charge Of Goa, Karnataka"," HighlightsDigvijaya Singh led the Congress' campaign in the Goa polls
It failed to form a government, despite being the largest party
Assembly elections in Congress-ruled Karnataka will be held next year
                                The Congress has removed its senior leader Digvijaya Singh as the party's in-charge in Goa and Karnataka. The decision comes nearly a month after the Congress failed to form a government in Goa despite emerging as the single largest party, commissioning biting criticism of Mr Singh from his colleagues and ridicule from opponents. He has been replaced in Goa by A Chellakumar and Lok Sabha member KC Venugopal in Karnataka.

""Congress president Sonia Gandhi has assigned the tasks of looking after Karnataka and Goa affairs to new AICC teams. While KC Venugopal has been made general secretary in-charge of Karnataka, A Chellakumar has been made AICC in-charge of Goa,"" party general secretary Janaradan Dwivedi said in a statement.

In elections held in February, the Congress managed to win 17 of the total 40 seats in Goa. However, as it took too long to make up its mind on post-poll alliances, the BJP quickly stitched up partnerships with regional parties and formed the government under former Defence Minister Manohar Parrikar.

In his farewell speech in the Rajya Sabha last month, Mr Parrikar took a jibe at Mr Singh and said, ""My special thanks to honourable member Digvijaya Singh, who happened to be in Goa but did nothing so that I could form the government.""

The Congress' inability to form the government in Goa also led to the resignation of Vishwajit Rane - who was seen as a possible Chief Ministerial candidate in Goa - from the party. Mr Rane, now a BJP member, openly criticised Mr Singh and accused him of ""mismanagement"".

The Congress has removed Mr Singh, a former two-time Chief Minister of Madhya Pradesh, as its in-charge in Karnataka, one of the few states currently held by the party. Assembly elections in the state will be held next year and the Congress would not want to relive it Goa experience.","new delhi:"
"13","Meghalaya BJP Leader Quits Party Protesting Against Cattle Trade Rule","                             As the Central government confronts strong opposition to its new rule banning cattle trade for slaughter in south and the northeast, a BJP leader in Meghalaya has resigned in protest. Bernard Marak, a leader from Garo hills, had recently caused a stir by promising cheaper beef to people if they voted the BJP to power.

Assembly polls are due early next year in the hill state, where beef is a staple.

""I have decided to quit the party because I am a Christian and Garo first,"" Mr Marak said today, adding, ""The BJP is hurting the sentiments here on the beef issue. Tribal society has its own laws. The BJP is trying to push Hindutva.""

Mr Marak's cheaper beef offer earlier this week discomfited the party as its government at the Centre faced criticism about its new cattle trade rules. The state BJP distanced itself from Mr Marak's comments, calling those his own views. Meghalaya BJP chief Shibun Lyndoh said the party ""is not against people having beef"".

""Total beef ban is something that even people here do not support,"" he said, adding what was required in the state were regulations and hygienic slaughter houses.

The BJP is yet to comment on the exit of the leader, who commands a chunk of the tribal votes.

""Bernard is right to the extent that there are people in the BJP in Meghalaya who eat beef... In Meghalaya it is not the BJP's agenda to put a beef ban,"" said senior BJP leader Nalin Kohli. But he denied that the party will push for cheaper beef if it comes to power. ""It is not the BJP's agenda to run markets that sale beef. That is for the market to decide. What Bernard says is his personal view not the party's view. ""

The new cattle trade rule of the Centre, that has triggered widespread protests in Kerala, Karnataka and Tamil Nadu, says cattle sold in animal markers cannot be used for slaughter. After Kerala and West Bengal, Tripura's Left government has said it will not implement the rule, describing it as ""anti-people"".","new delhi:"
"15","Shaking Up Elections, Corporate Tax: What India's 3-Year Plan Looks Like"," HighlightsNITI Aayog proposes 3-year agenda after PM meets Chief Ministers
Suggests simultaneous Lok Sabha and assembly polls from 2024
Corporate tax holiday for job creators, farm tax reform also suggested
                                Any talk of taxing farm incomes turned out to be a political hot potato but NITI Aayog's three-year action agenda - discussed between Prime Minister Narendra Modi and the Chief Ministers last week - has set out several ambitious goals.

One of the most far reaching suggestions by NITI Aayog is to hold simultaneous Lok Sabha and assembly polls from 2024. The report says, ""There should be synchronized two-phase elections even if that means curtailing or extending the tenure of some assemblies in national interest.""

The action plan says that the Election Commission should form working groups of stakeholders and submit a report by March 2018.

On curbing black money, the action plan says tax rates should be moderate and transparent. Real sector should be reformed and Aadhaar should be linked to real estate transactions, it says.

The most interesting part is with regard to taxes on agricultural incomes. On Wednesday, NITI Aayog had claimed that member Bibek Debroy's suggestion - that ultimately the rural sector including agriculture should be taxed - was his personal view.

But the final report said: ""All agricultural income is currently exempt from income tax regardless of its size. While the provision is meant to protect farmers, non-agricultural entities sometimes use it to evade taxes by declaring agriculture as the source of their income. In order to mitigate the generation of black money, the loopholes need to be plugged.""

Another ambitious project is to create well-paid jobs. Comparing India with China's job growth, the report says, ""Many super competitive firms in China today employ not just tens of thousands of workers but hundreds of thousands of them. In contrast, there are hardly any firms in India employing hundreds of thousands of workers.""

NITI's action plan says companies that create 10,000 jobs within three years of setting up should be given a corporate tax holidays for five years. It has also suggested zero per cent GST for six years to companies that employ 20,000 workers.

Other suggestions include setting up coastal employment zone and faster labour reforms.

At Confederation of Indian Industry's annual session on Friday, the head of NITI was blunt about the private sector's track record of creating jobs.

""Why I do not see a single industrialist putting up a factory of 250,000 workers doing apparel?"" asked Dr Arvind Panagariya.

At the moment, NITI Aayog's draft report has been circulated among state governments for their will give their feedback and suggestions before the policy think tank finalises India's growth roadmap.","new delhi:"
